1,Sport,SPRT,NULL
2,Football,FB,1
3,American Football,AFB,1
4,Baseball,BSB,1
5,Basketball,BB,1
6,Hockey,HCKY,1
7,NCAA Football,NCAAFB,3
8,NCAA Basketball,NCAABB,5
9,National Football League,NFL,3
10,Major League Baseball,MLB,4
11,National Basketball Association,NBA,5
12,English Premier League,EPL,2
13,National Hockey League,NHL,6
14,Eastern Conference,EAST,11
15,Atlantic Division,ATLDIV,14
16,Central Division,CNTDIV,14
17,Southeast Division,SEDIV,14
18,Western Conference,WEST,11
19,Southwest Division,SWDIV,18
20,Northwest Division,NWDIV,18
21,Pacific Division,PACDIV,18
